Words,Alternative
Aadat,Aacharan
Aadat,Swabhaav
Aadmi,Purush
Aadmi,Vyakti
Aadmiyat,Manushyata
Aafat,Aapatti
Aafat,Aapdaa
Aainaa,Darpan
Aakhri,Antim
Aaraam,Vishraam
Aarzoo,Ichchha
Aasaan,Saral
Aashiq,Premi
Aasmaan,Aakash
Aawaaz,Dhvani
Aazaadi,Svatantrataa
Adaalat,Nyayaalya
Adhoora,Apoorn
Agar,Yadi
Ailaan,Ghoshna
Ajeeb,Nirala
Ajeeb,Vichitra
Ajnabee,Aparichit
Akal,Buddhi
Akhbaar,Samacharpatra
Akhbaar,Samaachaarpatr
Alawa,Atirikt
Ameer,Dhani
Amir,Dhani
Amir,Dhanvaan
Andar,Bheetar
Andaza,Anuman
Anjaam,Parinaam
Aql,Buddhi
Asar,Prabhaav
Aulaad,Santaan
Aurat,Mahila
Aurat,Stree
Awrat,Mahila
Awrat,Stree
Azaadi,Swatantrata
Baad,Paschaat
Baadal,Maegh(मेघ)
Baadal,Maegh
Baarish,Varshaa
Baazu,Bhuja
Baccha,Baalak
Bachcha,Baalak
Badboo,Durgandh
Badbu,Durgandh
Badkismati,Durbhagya
Badtameeji,Dhristata
Bahaadur,Veer
Bahadur,Veer
Bahtareen,Uttam
Barbaad,Nasht
Bardaasht,Sehan
Beizzatti,Apmaan
Bekaar,Vyarth
Bharosa,Vishvaas
Bimaar,Rogi
Bimaari,Rog
Biwi,Patni
Chehra,Mookh
Chutti,Avakash
Daad,Prashansa
Daag,Dosh
Daag,Kalank
Daam,Moolya
Daaru,Madira
Daftar,Karyalaya
Dard,Peeda
Dariya,Nadi
Darwaazaa,Dwaar
Darwaja,Dwaar
Daulat,Dhan
Daulat,Sampatti
Dawa,Aushadhi
Der,Vilamb
Dikkat,Samasya
Dil,Hriday
Dimaag,Mastishq
Dost,Mitra
Dost,Mitr
Dukaan,Panyashaala
Duniya,Vishwa
Duniya,Jagat
Ehsaan,Kripa
Ehsaan,Upkaar
Ehsaanfaramosh,Kratdhan
Ehsaanmand,Kratagya
Ehsaas,Bhavna
Faasla,Antar
Faayada,Hit
Faayada,Laabh
Faisla,Nirnay
Farmaan,Aadesh
Farmaan,Raajghoshna
Farmaish,Iccha
Farz,Kartavya
Fateh,Vijay
Fauj,Sena
Fauj,Seyna
Fauji,Sainik
Fida,Shradhha
Gaddar,Drohi
Gala,Kanth
Galat,Anuchit
Garam,Tapt
Garam,Ushna
Gareeb,Nirdhan
Garib,Daridra
Garib,Deen
Gulaam,Daas
Guldasta,Pushpguchh
Gunah,Apraadh
Haal,Dasha
Haalat,Stithi
Haalat,Sthithi
Haasil,Prapt
Hafta,Saptaah
Hafta,Saptah
Hairaan,Achambit
Hamesha,Nirantar
Hamesha,Sadaa
Hamesha,Sadaiva
Hamesha,Sada
Hamlaa,Aakraman
Haq,Adhikaar
Haqiqat,Vaastavikta
Haqiqat,Vaastaviktaa
Hargiz,Kadaapi
Harkat,Gatividhi
Hathiyaar,Shastr
Hava,Pavan
Hava,Vayu
Havaa,Pavan
Havaa,Vayu
Havaa,Vaayu
Hawa,Pavan
Hawa,Vayu
Hazaar,Sahastra
Hifazat,Raksha
Hindustan,Bharat
Hissa,Bhaag
Hoshiyaar,Chatur
Hoshiyaar,Teevrabuddhi
Hoth,Adhar
Hukm, Aadesh(आदेश)
Hukm,Aadesh
Ijaat,Avishkaar
Ijazat,Anumati
Ilaaj,Upchaar
Imaan,Vishwaas
Imaarat,Bhavan
Imandaar,Nishtavaan
Imtehaan,Pariksha
Inkar,Aswikaar
Inkar,Virodh
Insaan,Maanav
Intakaam,Pratishodh
Intezaam,Prabandh
Intezaam,Vyavastha
Intezaar,Pratiksha
Intzaam,Prabandh
Ishaara,Sanket
Ishtehaar,Vigyapan
Istemaal,Upayog
Ittefaq,Sanyog
Izzat,Aadar(आदर)
Izzat,Kirti
Izzat,Maan
Izzat,Pratishtha
Izzat,Yash
Izzat,Aadar
Jaanwar,Pashu
Jagah,Sthan
Jahaan,Vishwa
Jaldi,Sheegr
Janaab,Mahoday
Jashna,Utsav
Jawaab,Uttar
Jawaan,Yuva
Jawaan,Yuvaa
Jism,Deh
Juda,Viyog
Kaabil,Saksham
Kaabil,Samarth
Kaafi,Paryaapt
Kaamra,Kaksh
Kaamre,Kaksh
Kaamyaab,Safal
Kaamyabi,Safalta
Kaanoon, Niyam
Kaanoon,Niyam
Kaarobaar,Vyavsaay
Kabool,Swikaar
Kam,Alp
Kamaan,Dhanush
Kamraa,Kaksh
Kamzor,Ashakt
Kamzor,Durbal
Kamzor,Nirbal
Karishma,Chamatkaar
Karz,Roon
Karz,Udhaar
Karz,Rinn
Kasur,Dosh
Keemat,Moolya
Khaanaa, Bhojan
Khaanaa,Bhojan
Khaandaan,Gharana
Khaandaan,Parivaar
Khaasiyat,Visheshta
Khabar,Samaachaar(समाचार)
Khabar,Samaachaar
Khali,Rikt
Khana,Bhojan
Khandaan,Vansh
Kharab,Akushal
Khareedna,Molna
Khatarnaak,Bhayaprad
Khatarnaak,Sankatmay
Khatra,Sankat
Khilaaf,Viruddh
Khof,Bhay
Khoobi,Visheshta
Khoon,Rakt
Khusboo,Sugandh
Khusbu,Sugandh
Khush,Prasann
Khushi,Anand
Khushi,Prasannata
Khushkismati,Saubhagya
Khwaab, Sapna
Khwaab,Sapnaa
Khwab,Sapna
Killa,Durg
Kism,Prakaar
Kismat,Bhagya(भाग्य)
Kismat,Bhaagya
Kissa,Ghatnaa
Kitaab,Pustak
Koshish,Prayaas
Kudrat,Prakriti
Laanat,Dhilkaar
Maamooli,Saadharan
Madad,Sahayata
Mafil,Sabha
Mahina,Maah
Mahsoos,Anubhuti
Majboor,Vivash
Manzil,Gantavya
Maqsad,Uddeshya
Mard,Purush
Mareez,Rogi
Mashhoor,Prashiddha
Masla,Samasya
Mausam,Rutu
Mausam,Ritu
Maut,Mrityu
Mazaa,Anand
Meharbaan,Dayalu
Mijaaz,Swabhaav
Moorti,Pratima
Muaafi,Kshama
Mubarak,Abhinandan
Mubarak,Badhai
Mulayam,Komal
Mumkin,Sambhav
Murti,Pratima
Mushkil,Kathin
Mushkil,Kathinn
Musibat,Sankat
Naach,Nritya
Naacheez,Moolyaheen
Naacheez,Tuchchh
Naainsaafi,Anyaaya
Naamanzur,Varjit
Naaraz,Rusht
Naata,Sambandh
Naayaab,Durlabh
Nadan,Agyaat
Nafrat,Ghrina
Najaayaz,Anuchit
Nakhoon,Nag
Nakli,Kritrim
Nalayak,Ayogya
Nam,Tar
Naqaab,Mukhautaa
Naraaz,Aprasann
Nasseb,Bhagya
Naubat,Samay
Naukar,Sevak
Naya,Nav
Nazar,Drishti
Nazdeek,Sameep
Nek,Punyaatma
Nigaah,Drishti
Nishan,Chinha
Noor,Prakash
Paagal,Moorkh
Paas,Nikat
Paimaan,Pratigya
Paimaan,Vachan
Pal,Kshan
Panaah,Sharan
Pareshaan,Vyakool
Pasand,Swikrit
Paseena,Shwed
Pehle,Poorv
Pesha,Vyavasaya
Peshaab,Mootra
Phool,Pushp
Qasam,Shapath
Qatl,Hatya
Qilla,Durg
Raasta,Maarg
Raushni,Prakaash
Rishta,Sambandh
Roshni,Prakaash
Rutbhaa,Pratishtha
Saahab,Shreemaan
Saal,Varsh
Saalana,Vaarshik
Saalgirah,Varshgaanth
Sabra,Dhairya
Safed,Shwet
Sahi,Uchit
Sau,Shat
Sawaal,Prashna
Sawaal,Prashn
Shaadi,Vivaah
Shaadi,Vivah
Shaam,Sandhya
Shahaadat,Balidaan
Shahar,Nagar
Shaheed,Veergati
Sharaab,Madira
Sharm, Lajja
Sharm,Lajja
Shayad,Kadachit
Sheesha,Darpan
Sher,Seh
Shukriya,Dhanyavaad
Shuru,Aarambh
Sirf,Keval
Sirf,Maatra
Sust,Mand
Taaj,Mukut
Taakat,Bal
Taareekh,Tithi
Tabdeel,Parivartit
Tabiyat,Swasthya
Tabiyat,Swaasthya
Takat,Shakti
Takdeer,Bhagya
Takht,Singhasan
Takleef,Kashtha
Tandurust,Svasth
Taqleef,Kasht
Taraf,Paksh
Tasveer,Chavi
Tasveer,Chitra
Tasveer,Chitr
Teer,Baan
Tohfa,Bhent
Tohfa,Uphaar
Ujaad,Banjar
Umdaa,Achchha
Ummed,Apeksha
Umra,Aayu
Vaadaa,Vachan
Vaapas,Punar-aagaman
Vajah,Kaaran
Waqeel,Adhivakta
Waqt,Samay
Yaad,Smriti
Yakeen,Vishwas
Zabaan,Jeebh
Zameen,Bhumi
Zameer,Antahakaran
Zaroor,Avashya
Zaroorat,Aavshyakta
Zaroori,Aavashyak
Zehar,Vish(विष)
Zikr,Ullekh
Zimmedaar,Uttardaayi
Zimmedaari,Uttardayitva
Zindagi,Jeevan
Zubaan,Vachan
Zulm,Atyaachaar
Zyada,Adhik
